name;Implementing.Jurisdictions;Affected.Jurisdictions;comtrade;gta.name;ISO;UN;gta.id;G20;N10;EU.G20;EU27;EU28;euro.area;LDC;BACI;sacu;mercosur;CU
Afghanistan;Afghanistan;Afghanistan;Afghanistan;Afghanistan;AFG;4;1;0;0;0;0;0;0;1;4;0;0;0
Albania;Albania;Albania;Albania;Albania;ALB;8;2;0;0;0;0;0;0;0;8;0;0;0
Algeria;Algeria;Algeria;Algeria;Algeria;DZA;12;3;0;0;0;0;0;0;0;12;0;0;0
American Samoa;American Samoa;American Samoa;American Samoa;American Samoa;ASM;16;4;0;0;0;0;0;0;0;16;0;0;0
Andorra;Andorra;Andorra;Andorra;Andorra;AND;20;5;0;0;0;0;0;0;0;20;0;0;0
Angola;Angola;Angola;Angola;Angola;AGO;24;6;0;0;0;0;0;0;1;24;0;0;0
Anguilla;Anguilla;Anguilla;Anguilla;Anguilla;na;660;7;0;0;0;0;0;0;0;660;0;0;0
Antigua and Barbuda;Antigua and Barbuda;Antigua and Barbuda;Antigua and Barbuda;Antigua & Barbuda;na;28;8;0;0;0;0;0;0;0;28;0;0;0
Argentina;Argentina;Argentina;Argentina;Argentina;ARG;32;9;1;0;0;0;0;0;0;32;0;1;0
Armenia;Armenia;Armenia;Armenia;Armenia;ARM;51;10;0;0;0;0;0;0;0;51;0;0;0
Aruba;Aruba;Aruba;Aruba;Aruba;ABW;533;11;0;0;0;0;0;0;0;533;0;0;0
Australia;Australia;Australia;Australia;Australia;AUS;36;12;1;0;0;0;0;0;0;36;0;0;0
Austria;Austria;Austria;Austria;Austria;AUT;40;13;0;0;0;1;1;1;0;40;0;0;0
Azerbaijan;Azerbaijan;Azerbaijan;Azerbaijan;Azerbaijan;AZE;31;14;0;0;0;0;0;0;0;31;0;0;0
Bahamas;Bahamas;Bahamas;Bahamas;Bahamas;BHS;44;15;0;0;0;0;0;0;0;44;0;0;0
Bahrain;Bahrain;Bahrain;Bahrain;Bahrain;BHR;48;16;0;0;0;0;0;0;0;48;0;0;0
Bangladesh;Bangladesh;Bangladesh;Bangladesh;Bangladesh;BGD;50;17;0;0;0;0;0;0;1;50;0;0;0
Barbados;Barbados;Barbados;Barbados;Barbados;BRB;52;18;0;0;0;0;0;0;0;52;0;0;0
Belarus;Belarus;Belarus;Belarus;Belarus;BLR;112;19;0;0;0;0;0;0;0;112;0;0;1
Belgium;Belgium;Belgium;Belgium;Belgium;BEL;56;20;0;0;0;1;1;1;0;58;0;0;0
Belize;Belize;Belize;Belize;Belize;BLZ;84;21;0;0;0;0;0;0;0;84;0;0;0
